levels,value,level
broad,very_narrow,1
broad,vnarrow_narrow,2
broad,narrow,3
broad,narrow_medium,4
broad,medium,5
broad,medium_broad,6
broad,broad,7
broad,broad_vbroad,8
broad,very_broad,9
dark,very_dark,1
dark,dark_vdark,2
dark,dark,3
dark,medium_dark,4
dark,medium,5
dark,light_medium,6
dark,light,7
dark,vlight_light,8
dark,very_light,9
deep,very_deep,1
deep,deep_vdeep,2
deep,deep,3
deep,medium_deep,4
deep,medium,5
deep,shallow_medium,5
deep,shallow,6
deep,vshallow_shallow,8
deep,very_shallow,9
dense,very_dense,1
dense,dense_vdense,2
dense,dense,3
dense,medium_dense,4
dense,medium,5
dense,sparse_medium,6
dense,sparse,7
dense,vsparse_sparse,8
dense,very_sparse,9
large,very_small,1
large,vsmall_small,2
large,small,3
large,small_medium,4
large,medium,5
large,medium_large,6
large,large,7
large,large_vlarge,8
large,very_large,9
long,very_short,1
long,vshort_short,2
long,short,3
long,short_medium,4
long,medium,5
long,medium_long,6
long,long,7
long,long_vlong,8
long,very_long,9
many,very_many,1
many,many_vmany,2
many,many,3
many,medium_many,4
many,medium,5
many,few_medium,6
many,few,7
many,vfew_few,8
many,very_few,9
strong,very_weak,1
strong,vweak_weak,2
strong,weak,3
strong,weak_medium,4
strong,medium,5
strong,medium_strong,6
strong,strong,7
strong,strong_vstrong,8
strong,very_strong,9
strong2,strong,1
strong2,medium,2
strong2,weak,3
tall,very_tall,1
tall,tall_vtall,2
tall,tall,3
tall,medium_tall,4
tall,medium,5
tall,short_medium,6
tall,short,7
tall,vshort_short,8
tall,very_short,9
